Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Weight lifting duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.3587769914212,,,,,,1.1200000047683716,1.1200000047683716,1.1200000047683716,,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,16.3587769914212,,,,,,1.1200000047683714,1.1200000047683716,1.1200000047683716,124,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,16.3587769914212,,,,,,1.1200000047683716,1.1200000047683716,1.1200000047683716,6,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,16.3587769914212,,,,,,1.1200000047683716,1.1200000047683716,1.1200000047683716,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,16.3587769914212,,38.7512904,-89.9525792,38.7512904,-89.9525792,1.1200000047683716,1.1200000047683716,1.1200000047683716,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,16.3587769914212,,38.7516174,-89.9525562,38.7516174,-89.9525562,,,,,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,16.3587769914212,,38.7514646,-89.9524632,38.7514646,-89.9524632,,,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,16.3587769914212,,38.7514098,-89.9524977,38.7514098,-89.9524977,1.8700000047683716,1.8700000047683716,1.8700000047683716,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,16.3587769914212,,,,,,1.8700000047683716,1.8700000047683716,1.8700000047683716,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,16.3587769914212,,,,,,1.8700000047683714,1.8700000047683716,1.8700000047683716,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,16.3587769914212,,38.7511907,-89.9525068,38.7511907,-89.9525068,1.8700000047683716,1.8700000047683716,1.8700000047683716,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,16.3587769914212,,38.7513316,-89.9524409,38.7513316,-89.9524409,,,,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,16.3587769914212,,38.7512874,-89.9525038,38.7512874,-89.9525038,,,,,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
05:15:00.000-04:00,05:30:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,16.3587769914212,,,,,,,,,,,,,900000,,
