Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Weight lifting duration (ms),Other duration (ms)
2018-06-18,209.72036743164062,,,,,,,,,,,,,,,,,1723729,
2018-06-20,190.04225158691406,,,,,,,,,,,,,,,,,1561991,
2018-06-22,209.580322265625,,,,,,,,,,,,,,,,,1722578,
2018-06-25,1004.039588309271,,,,,,,,,,,,,,,,,1319204,
2018-06-26,1597.3743873952906,,,,,,,,,,,,,,,,,,
2018-06-27,1824.102295684925,,,,,,,,,,,,,,,,,2262712,
2018-06-28,1597.3743896484375,,,,,,,,,,,,,,,,,,
2018-06-29,1597.3743896484375,,,,,,,,,,,,,,,,,,
2018-06-30,1203.1292821993807,,,,,,,,,,,,,,,,,,
2018-07-01,873.4427508510944,,,,,,,,,,,,,,,,,,
2018-07-02,1869.953902794903,2332.5240519046783,38.75088882446289,-90.39129638671875,38.78240966796875,-89.9520263671875,1.5998465737365228,24.770000457763672,0.25060608983039856,5297,,,,,37998547,3879770,1786,1463241,
2018-07-03,1813.5601132033864,1914.5413035154343,38.750579833984375,-90.39138793945312,38.7861213684082,-89.9519271850586,2.821514914097048,36.939998626708984,0.294779896736145,4450,71.21400451660156,71.21400451660156,71.21400451660156,,75315616,3121222,,2880369,
2018-07-04,685.6375398267982,28.111467361450195,38.750946044921875,-89.95347595214844,38.7517204284668,-89.9520263671875,1.6847880782397657,5.059999942779541,0.39437001943588257,1385,,,,,86066153,333847,,,
2018-07-05,2023.1660928519796,5447.826113522053,38.75111770629883,-90.3907470703125,38.77613067626953,-89.95198059082031,1.663943905482952,36.04999923706055,0.31528759002685547,8308,71.66759490966797,71.66759490966797,71.66759490966797,,76077756,3429808,1305170,,
2018-07-06,1872.5374148298129,1632.6227966547012,38.75086975097656,-90.3913803100586,38.777584075927734,-89.95188903808594,1.487106053907495,31.889999389648438,0.320302277803421,4612,,,,,77514357,2545632,,1410155,
2018-07-07,1640.8157395188446,274.79619014263153,38.75108337402344,-89.9526138305664,38.751678466796875,-89.95098114013672,1.8007095643849336,5.46999979019165,0.31798577308654785,2233,,,,,85409591,990409,,,
2018-07-08,1864.4338746694814,1479.5041085481644,38.751121520996094,-89.9527359008789,38.751739501953125,-89.95195770263672,0.6797847028973363,5.639999866485596,0.2518337368965149,4758,,,,270954,80962394,4602182,,,
2018-07-09,2178.77713277833,3250.1337130069733,38.75080108642578,-90.3919906616211,38.77593994140625,-89.95201873779297,1.4556873503232974,35.380001068115234,0.3050856590270996,7416,,,,,72265291,4886785,60237,3033768,
2018-07-10,2406.93284747766,10846.734216749668,38.75066375732422,-90.3944320678711,38.7760124206543,-89.95153045654297,2.023374026376477,46.869998931884766,0.24881689250469208,14328,,,,,69692143,5136055,3172659,,
2018-07-11,2139.6882416145936,2878.408669948578,38.75104522705078,-90.3944320678711,38.77750778198242,-89.95161437988281,1.3549749218024225,28.479999542236328,0.26361432671546936,9717,70.76040649414062,70.76040649414062,70.76040649414062,,71463280,7472958,,1402539,
2018-07-12,2220.541008643699,7488.247584670782,38.75088882446289,-90.39185333251953,38.78195571899414,-89.95195007324219,1.89354470371819,35.779998779296875,0.2463260143995285,12406,,,,,71182092,4942757,2836795,,
2018-07-13,1969.735115962236,2737.883067369461,38.63611602783203,-90.39442443847656,38.78185272216797,-89.9519527,1.4006263941466803,29.459999084472656,0.014685584232211113,6286,,,,,75768825,4244746,,1555460,
2018-07-14,1684.6593561713153,750.6985350847244,38.7505907,-89.987876,38.7766293,-89.9520543,2.178508784915304,21.299999237060547,0.30577826499938965,2899,70.30681610107422,70.30681610107422,70.30681610107422,,82777437,2009941,,,
2018-07-15,1507.6348821932875,674.7787207365036,38.7224764,-89.9907307,38.7518247,-89.952275,1.0831285430466315,3.9100000858306885,0.2746618092060089,1943,70.30681610107422,70.30681610107422,70.30681610107422,,83693837,1220650,,,
2018-07-16,2080.0504518722482,3983.8416950702667,38.7220724,-90.391847,38.7782278,-89.9518609,3.4720866584591294,41.060001373291016,0.2569725811481476,8225,,,,,71339981,6846592,,1398898,
2018-07-17,2110.792946582743,6956.466553449631,38.7511356,-90.3908519,38.7807426,-89.9522182,1.165872546080839,31.670000076293945,0.13136456906795502,10484,,,,,74890386,3946428,1977473,,
2018-07-18,1781.5221953858515,3012.6601326167583,38.7509749,-90.3980584,38.7791053,-89.9520856,1.2537591598370206,3.819999933242798,0.27799904346466064,7599,,,,,75404867,4500459,,1691701,
2018-07-19,2268.862146923397,8241.089468359947,38.7508132,-90.3914512,38.7791053,-89.9522004,1.2541700759871082,13.880000114440918,0.2530430257320404,11562,,,,,72129162,5497373,2267357,,
2018-07-20,2084.5758635706065,4188.432431817055,38.7511426,-90.3908676,38.7880752,-89.9490262,0.8503776665303281,1.5372827053070068,0.2708945572376251,9000,,,,,73977232,6606160,,1453906,
2018-07-21,1797.178373598084,1093.4065589904785,38.7223475,-90.0707009,38.8069016,-89.9503809,2.589932177020354,36.41999816894531,0.25060608983039856,3498,,,,,75741082,4046230,,,
2018-07-22,1736.2713804701052,774.4133709669113,38.7224231,-89.9893477,38.7514232,-89.9521135,1.3077341494728145,3.309999942779541,0.32086122035980225,4663,,,,,82807702,2959311,,,
2018-07-23,1981.398201268699,2196.6593984365463,38.750961,-90.3907654,38.7758924,-89.9522943,1.1782647851211914,28.309999465942383,0.2553352117538452,5547,,,,,77041557,4123874,,1816828,
2018-07-24,2153.8706223680556,6951.169168591499,38.7509703,-90.3944692,38.8069585,-89.9514575,1.0640855692815738,17.940000534057617,0.27073565125465393,10742,,,,,74449337,4513793,1892242,,
2018-07-25,1859.8109618849182,1333.4910552501678,38.7511167,-90.3913914,38.7814297,-89.9521874,1.2290862295573228,18.399999618530273,0.2893451452255249,3698,,,,,78321087,2090434,,1739650,
2018-07-26,1706.138350400609,6618.761258840561,38.751167,-90.3907176,38.7819615,-89.9523256,1.5384355875957443,34.779998779296875,0.25060608983039856,6913,69.85322570800781,69.85322570800781,69.85322570800781,,54097081,2467590,10571,,2100000
2018-07-27,1287.6740024190485,,,,,,,,,,69.85322570800781,69.85322570800781,69.85322570800781,,,,,1877901,
